item	total	count part-1	specif part-1	count part-2	specif part-2
全	70	56	1.70	14	-1.70
运行	70	55	1.49	15	-1.49
达	70	55	1.49	15	-1.49
理解	70	49	0.98	21	0.98
程序	70	47	-1.06	23	1.06
表现	70	40	-2.15	30	2.15
规划	69	55	1.64	14	-1.64
条件	69	54	1.45	15	-1.45
流量	69	48	-0.99	21	0.99
一定	69	47	-1.02	22	1.02
y	69	65	6.20	4	-6.20
二	68	48	0.98	20	0.98
扫	68	60	3.59	8	-3.59
推进	68	42	-1.47	26	1.47
往往	68	44	-1.19	24	1.19
使	68	44	-1.19	24	1.19
科学	68	52	1.25	16	-1.25
从而	68	37	-2.62	31	2.62
策略	68	53	1.40	15	-1.40
机器	68	45	-1.10	23	1.10
硕士	68	62	4.68	6	-4.68
大湾区	68	47	-0.99	21	0.99
19	67	49	1.03	18	-1.03
游戏	67	54	1.75	13	-1.75
搜索	67	56	2.30	11	-2.30
资讯	67	60	3.99	7	-3.99
我国	67	41	-1.52	26	1.52
广泛	67	39	-1.93	28	1.93
通常	67	41	-1.52	26	1.52
有效	66	42	-1.27	24	1.27
战略	66	45	-1.00	21	1.00
广告	66	55	2.23	11	-2.23
最终	66	40	-1.58	26	1.58
几	66	50	1.17	16	-1.17
快	65	50	1.26	15	-1.26
国际	65	51	1.43	14	-1.43
强	65	43	-1.08	22	1.08
必须	65	42	-1.18	23	1.18
认知	65	36	-2.36	29	2.36
正在	64	41	-1.22	23	1.22
案例	64	48	1.11	16	-1.11
思考	64	42	-1.11	22	1.11
认识	64	41	-1.22	23	1.22
举报	63	48	1.19	15	-1.19
G	63	38	-1.58	25	1.58
保持	63	43	-0.99	20	0.99
降低	63	42	-1.05	21	1.05
迁移	63	61	7.18	2	-7.18
内部	63	38	-1.58	25	1.58
真正	63	37	-1.79	26	1.79
地铁	63	43	-0.99	20	0.99
基本	62	42	-1.00	20	1.00
聊天	62	43	-0.96	19	0.96
输出	62	43	-0.96	19	0.96
第一	61	43	0.95	18	0.95
获取	61	42	-0.97	19	0.97
文化	61	46	1.11	15	-1.11
消费	61	42	-0.97	19	0.97
每个	61	34	-2.20	27	2.20
这样	61	43	0.95	18	0.95
new	61	56	4.49	5	-4.49
人才	61	39	-1.21	22	1.21
检测	61	43	0.95	18	0.95
陌生人	61	42	-0.97	19	0.97
本	60	43	0.96	17	-0.96
加强	60	32	-2.60	28	2.60
发生	60	39	-1.12	21	1.12
结果	60	39	-1.12	21	1.12
预测	60	35	-1.79	25	1.79
30	60	49	1.80	11	-1.80
知道	60	47	1.36	13	-1.36
创建	60	40	-1.03	20	1.03
超过	60	40	-1.03	20	1.03
原	59	41	-0.95	18	0.95
法律	59	39	-1.06	20	1.06
电子	59	45	1.16	14	-1.16
计划	59	46	1.31	13	-1.31
责任	59	37	-1.29	22	1.29
引导	59	33	-2.12	26	2.12
代表	59	46	1.31	13	-1.31
速度	59	40	-0.99	19	0.99
分类	59	43	0.98	16	-0.98
06	59	56	5.71	3	-5.71
